Date, Close/Last, Volume, Open, High, Low
03/26/2020, $120.26, 10377950, $112.71, $121.8, $112.58
03/25/2020, $112.5, 9485483, $112.74, $116.36, $111.04
03/24/2020, $113.84, 11446960, $109.93, $114.43, $109.365
03/23/2020, $105.18, 13926830, $106, $112.87, $102.87
03/20/2020, $103.93, 13093150, $118.24, $118.45, $101.42
03/19/2020, $117.34, 9393486, $121.43, $122.09, $116.06
03/18/2020, $120.92, 15250770, $120.84, $127.72, $113.7701
03/17/2020, $127.72, 14242320, $116.7, $127.86, $116.39
03/16/2020, $113.09, 10733310, $114.69, $123.82, $112
03/13/2020, $127.45, 12007670, $120.68, $127.59, $115.07
03/12/2020, $115.34, 12808250, $122.1, $125, $113.59
03/11/2020, $129.75, 7468850, $130.58, $132.54, $127.63
03/10/2020, $134.14, 8258624, $132.05, $134.57, $126.86
03/09/2020, $130.16, 8716252, $130.18, $133.35, $128.18
03/06/2020, $137.26, 6755028, $131.56, $138.17, $131.4532
03/05/2020, $138.1, 6579119, $138.81, $141.42, $136.67
03/04/2020, $142.39, 7635948, $136.19, $142.71, $136.01
03/03/2020, $135.58, 8728649, $137.19, $139.67, $134.74
03/02/2020, $137.58, 8504547, $132, $137.77, $131.72
02/28/2020, $132.03, 14169960, $133.24, $133.75, $128.35
02/27/2020, $136.37, 8604968, $141.41, $143.14, $136.31
