Date, Close/Last, Volume, Open, High, Low
05/29/2020, $122.33, 8706914, $118.74, $122.78, $118.16
05/28/2020, $118.43, 6137981, $117.96, $120.24, $117.46
05/27/2020, $117.41, 8260266, $115.63, $117.45, $114.23
05/26/2020, $115.12, 7274613, $118.8, $119.96, $114.81
05/22/2020, $117.49, 4902875, $118.83, $119.36, $117.18
05/21/2020, $118.68, 7620680, $119.63, $120.37, $117.6444
05/20/2020, $119.63, 12896990, $124.09, $124.91, $119.29
05/19/2020, $123.17, 7914862, $125.11, $125.97, $122.77
05/18/2020, $125.2, 6346855, $123.26, $125.55, $122.77
05/15/2020, $120.94, 8354204, $120.35, $122.65, $119.8
05/14/2020, $119.94, 5635647, $117.94, $120.8259, $117.12
05/13/2020, $119.14, 4677857, $119.45, $120.6326, $118.14
05/12/2020, $119.39, 4896950, $121, $122.95, $119.39
05/11/2020, $120.18, 5996298, $116.82, $120.74, $115.93
05/08/2020, $115.83, 4267439, $114.71, $116.83, $114.12
05/07/2020, $113.36, 3690095, $114.76, $115.29, $113.1
05/06/2020, $113.58, 4913949, $112.89, $115.62, $112.56
05/05/2020, $111.76, 4201116, $111.7, $113.3776, $110.47
05/04/2020, $111.71, 4578280, $107.83, $112.03, $107.6303
05/01/2020, $108.23, 4590531, $108.85, $109.48, $106.1
04/30/2020, $109.74, 4769625, $111.08, $111.2, $108.89
04/29/2020, $112.1, 4929783, $113.5, $114.04, $110.11
04/28/2020, $112, 4904742, $111.51, $113.88, $110.11
04/27/2020, $109.88, 4340724, $108.68, $111.2, $108.51
04/24/2020, $107.82, 6092626, $104.5, $108.45, $103.86
04/23/2020, $103.86, 16507990, $100.7, $105.4989, $100.5
04/22/2020, $106.84, 2956001, $108.19, $108.53, $106.42
04/21/2020, $106.9, 4519717, $108.26, $108.26, $105.91
04/20/2020, $108.98, 5329607, $112.5, $112.5, $108.72
04/17/2020, $113.42, 7617495, $110.9, $114.07, $108.43
04/16/2020, $109.3, 5950255, $107, $109.89, $106.65
04/15/2020, $106.24, 4225561, $108.76, $109, $105.245
04/14/2020, $108.38, 5032257, $108.49, $109.91, $105.88
04/13/2020, $104.68, 3235462, $104.2, $105.3737, $102.91
04/09/2020, $104.2, 7070592, $102, $104.83, $101.5
04/08/2020, $104.63, 7542884, $100.35, $105.69, $100
04/07/2020, $98.26, 6599329, $98.75, $101.66, $97.03
04/06/2020, $97.51, 7107778, $93.22, $97.82, $92.13
04/03/2020, $92.57, 6815449, $93.53, $94.13, $90.17
04/02/2020, $94.36, 5929227, $94.27, $95.67, $92.12
04/01/2020, $95.27, 8581016, $91.64, $96.14, $91.29
03/31/2020, $92.97, 6392273, $95.28, $96.78, $92.16
03/30/2020, $96.01, 4485977, $96.18, $97.77, $95.5
03/27/2020, $94.74, 4903112, $94.49, $97.83, $92.93
03/26/2020, $96.07, 7018723, $91.39, $96.47, $91.21
03/25/2020, $91.04, 12563240, $99.12, $99.325, $90.52
03/24/2020, $100.56, 6498592, $100.14, $101.65, $96
03/23/2020, $96.69, 7104301, $96.55, $99.2, $93.81
03/20/2020, $97.4, 8057187, $99.3, $102.48, $96.38
03/19/2020, $100.5, 7414229, $102.72, $107.12, $99.81
03/18/2020, $102.82, 8845742, $98.94, $108.35, $96.85
03/17/2020, $103.63, 10586360, $95.12, $106.49, $95.06
03/16/2020, $93.79, 6963731, $92.59, $99.94, $91.16
03/13/2020, $101.02, 9267184, $96.65, $105.14, $92.53
03/12/2020, $92.62, 10208840, $99.24, $101.53, $92.41
03/11/2020, $105.58, 6103609, $106.03, $107.98, $103.42
03/10/2020, $108.33, 7461033, $106.24, $109.59, $104.8
03/09/2020, $104.03, 7346571, $99.76, $107.68, $99.76
03/06/2020, $105.95, 5370785, $104.16, $106.43, $102.75
03/05/2020, $105.97, 5294937, $105.64, $108.44, $105.25
03/04/2020, $107.82, 6834765, $107, $108.07, $104.67
03/03/2020, $105.84, 10927420, $112, $112.2, $103.96
03/02/2020, $109.06, 9691097, $103.38, $109.44, $102.946
02/28/2020, $103, 9223549, $102.21, $104.2, $100.74
02/27/2020, $105.62, 6713420, $108.38, $109.38, $105.54
02/26/2020, $110.66, 4319837, $112.18, $112.705, $110.29
02/25/2020, $111.72, 5095911, $114.19, $115.1499, $111.63
02/24/2020, $113.78, 5305158, $114.48, $115.99, $113.12
