Date, Close/Last, Volume, Open, High, Low
05/29/2020, 279.75, 7051402, 278.03, 280.35, 275.36
05/28/2020, 278.5, 4634896, 280.03, 282.04, 277.81
05/27/2020, 279.05, 5152385, 277.78, 279.05, 272.86
05/26/2020, 275.04, 4911764, 277.53, 277.735, 274.55
05/22/2020, 271.55, 2296370, 270.76, 271.72, 269.5
05/21/2020, 270.94, 3581314, 272.8, 273.59, 269.95
05/20/2020, 272.9, 4896239, 271.92, 273.79, 271.69
05/19/2020, 268.52, 4921117, 270.61, 272.25, 268.34
05/18/2020, 271.08, 6769161, 269.32, 272.7, 269.06
05/15/2020, 263.04, 3386161, 259.54, 263.11, 258.56
05/14/2020, 261.86, 7737588, 256.33, 262, 253.97
05/13/2020, 258.74, 5617469, 262.87, 263.9, 256.36
05/12/2020, 263.41, 5159857, 269.98, 270.4, 263.33
05/11/2020, 268.82, 3469300, 266.78, 270.2, 266.43
05/08/2020, 268.78, 3206956, 267.53, 269.14, 266.38
05/07/2020, 264.36, 3410208, 264.45, 266.3, 263.9
05/06/2020, 261.27, 3021415, 264.71, 265.105, 261.14
05/05/2020, 263.04, 4437160, 263.45, 265.81, 262.6
05/04/2020, 260.64, 4128909, 257.92, 260.9, 256.53
05/01/2020, 259.82, 4790654, 262.14, 262.85, 258.74
04/30/2020, 267.1, 7386574, 268.08, 268.58, 265.23
04/29/2020, 269.45, 6773125, 267.98, 271, 266.91
04/28/2020, 262.68, 5849521, 267.48, 267.79, 262.3
04/27/2020, 263.9, 3892216, 262.01, 264.91, 261.57
04/24/2020, 260.14, 4770195, 258, 260.7, 255.94
04/23/2020, 256.42, 7665377, 257.75, 260.8999, 256.2
04/22/2020, 256.47, 5634160, 255.83, 258.23, 254.475
04/21/2020, 250.95, 6526061, 254.25, 255.49, 250
04/20/2020, 258.86, 6498713, 259.65, 263.1, 258.58
04/17/2020, 263.61, 6738790, 262.31, 264, 259.5
04/16/2020, 256.53, 6165690, 256.514, 257.2999, 253.4
04/15/2020, 255.24, 4888851, 255.08, 256.9, 253.11
04/14/2020, 260.92, 6631120, 258.24, 261.63, 257.21
04/13/2020, 253.19, 7666366, 254.64, 254.9487, 249.3766
04/09/2020, 255.67, 8812596, 255.12, 258.3899, 253.14
04/08/2020, 251.93, 6958583, 246.24, 253.05, 244.05
04/07/2020, 243.66, 12936590, 251.92, 252.8, 243.455
04/06/2020, 243.53, 7624036, 236.96, 245.3, 235.93
04/03/2020, 228.02, 5490162, 230.43, 232.71, 225.3412
04/02/2020, 231.44, 6547009, 225.335, 232.18, 224.72
04/01/2020, 226.15, 13710140, 227.92, 231.05, 224.13
03/31/2020, 236.82, 10386300, 239.45, 241.94, 235.44
03/30/2020, 240.39, 8727846, 234.92, 241.1, 232.97
03/27/2020, 232.86, 11170600, 232.7, 239.64, 230.661
03/26/2020, 240.24, 12411130, 229.272, 241.44, 228.85
03/25/2020, 226.62, 11876360, 225, 235.51, 220.32
03/24/2020, 223.75, 13160770, 216.39, 224.3, 214.83
03/23/2020, 204.27, 14128150, 209.63, 210.7799, 200.55
03/20/2020, 210.74, 11533250, 222.8, 224.563, 210.05
03/19/2020, 220.34, 12441160, 218.43, 226, 212.11
03/18/2020, 220.15, 20177500, 216.08, 224.74, 208.31
03/17/2020, 232.88, 15115490, 223.75, 233.95, 216.6
03/16/2020, 218.57, 17271540, 222.85, 234.77, 218.1444
03/13/2020, 247.64, 19533610, 240.66, 247.78, 228.1
03/12/2020, 226.48, 24669260, 234.94, 243.675, 225.81
03/11/2020, 250.73, 11518410, 256.66, 257.72, 247.62
03/10/2020, 263.81, 10879060, 260.48, 263.81, 250
03/09/2020, 252.11, 16425910, 253.89, 260.99, 251.15
03/06/2020, 273.19, 6669112, 269.32, 274.46, 266.6
03/05/2020, 277.85, 6219956, 280.3, 283.41, 275.61
03/04/2020, 287.48, 5253926, 281.23, 287.645, 278.7
03/03/2020, 276.04, 9805876, 284.34, 288.3197, 273.36
03/02/2020, 283.87, 12428630, 274, 284.04, 270.49
02/28/2020, 271.74, 23324080, 265.32, 272.92, 262.25
02/27/2020, 273.39, 14897040, 280.57, 284.4795, 273.36
02/26/2020, 286.07, 10284670, 288.61, 292.28, 285.48
02/25/2020, 287.34, 8465834, 297.73, 298.23, 286.36
02/24/2020, 296.24, 7096975, 296.96, 299.378, 295.17
02/21/2020, 306.49, 2678575, 308.3, 308.58, 305.62
02/20/2020, 309.7, 4617280, 310.35, 311.187, 306.67
02/19/2020, 310.92, 2257545, 310.42, 311.59, 310.12
02/18/2020, 309.43, 3002985, 309.24, 309.82, 308.0332
02/14/2020, 310.28, 1637209, 310.11, 310.33, 309
02/13/2020, 309.76, 2043427, 308.6, 310.72, 308.36
02/12/2020, 310.06, 2115750, 309.56, 310.27, 309.17
02/11/2020, 308.08, 2438848, 308.93, 309.69, 307.605
02/10/2020, 307.52, 2246940, 304.39, 307.56, 304.35
02/07/2020, 305.33, 2249279, 305.83, 306.59, 304.74
02/06/2020, 306.89, 1925534, 306.8, 307.08, 305.81
02/05/2020, 305.85, 3049942, 305.4, 306.08, 303.87
02/04/2020, 302.43, 2292773, 301.5, 303.225, 301.16
02/03/2020, 297.84, 3266697, 297.12, 299.67, 297.0348
01/31/2020, 295.69, 6184691, 300.44, 300.6, 294.72
01/30/2020, 301.09, 4432657, 298.04, 301.29, 297.3
01/29/2020, 300.15, 2752249, 301.78, 301.935, 299.922
01/28/2020, 300.45, 3562527, 298.7, 301.22, 298.2201
01/27/2020, 297.23, 4301999, 296.84, 298.73, 296.45
01/24/2020, 302.03, 3448207, 305.42, 305.52, 300.8086
01/23/2020, 304.81, 2673069, 303.84, 304.97, 302.664
01/22/2020, 304.51, 2765293, 305.31, 305.92, 304.32
01/21/2020, 304.43, 2757878, 304.08, 305.22, 304
01/17/2020, 305.06, 2218062, 304.77, 305.2, 304.2
01/16/2020, 304.03, 2582603, 302.94, 304.04, 302.71
01/15/2020, 301.51, 2822336, 300.81, 302.3, 300.69
01/14/2020, 300.84, 2620725, 300.89, 301.91, 300.32
01/13/2020, 301.24, 2738733, 299.91, 301.32, 299.48
01/10/2020, 299.26, 3667003, 300.74, 300.86, 298.79
01/09/2020, 300.12, 2173883, 299.73, 300.19, 299.09
01/08/2020, 298.06, 3724359, 296.71, 299.31, 296.47
01/07/2020, 296.53, 2384732, 296.82, 297.27, 296.0611
01/06/2020, 297.35, 2782110, 294.42, 297.42, 294.35
01/03/2020, 296.24, 3248060, 295.22, 297.36, 295.04
01/02/2020, 298.42, 3149761, 297.29, 298.45, 296.34
12/31/2019, 295.8, 2512719, 294.53, 295.99, 294.17
12/30/2019, 295.04, 2349611, 296.75, 296.84, 294.5103
12/27/2019, 296.67, 2225614, 297.51, 297.51, 296.149
12/26/2019, 296.67, 2391589, 295.56, 296.69, 295.52
12/24/2019, 295.16, 1305896, 295.36, 295.4, 294.85
12/23/2019, 295.16, 2325251, 295.49, 295.53, 294.99
12/20/2019, 296.3, 4985649, 295.89, 296.76, 295.78
12/19/2019, 294.8, 2333488, 293.78, 294.88, 293.75
12/18/2019, 293.58, 3295366, 294.02, 294.22, 293.57
12/17/2019, 293.56, 3659229, 293.99, 294.19, 293.5
12/16/2019, 293.5, 3142450, 293.26, 294.11, 293.22
12/13/2019, 291.44, 3520501, 291.09, 292.76, 290.3
12/12/2019, 291.33, 3277393, 288.85, 292.1014, 288.61
12/11/2019, 288.79, 1836430, 288.45, 289.08, 288.08
12/10/2019, 288.04, 1823558, 288.31, 288.938, 287.35
12/09/2019, 288.31, 1480344, 288.87, 289.52, 288.27
12/06/2019, 289.19, 1609493, 288.58, 289.65, 288.5456
12/05/2019, 286.64, 1597255, 286.83, 286.83, 285.29
12/04/2019, 286.11, 3189831, 285.41, 286.7, 285.07
12/03/2019, 284.29, 3250267, 283.52, 284.43, 282.1
12/02/2019, 286.3, 4422919, 289.03, 289.03, 285.84
